trajectory,seed,training_iteration,cumulative_games_seen,elo,elo_uncertainty,rating_origin,env_steps,self_play_games
seed0,0,0,0,1000.0,,initialized_by_sop,361,16
seed0,0,10000,1600,189.58568402525623,732.6802234518251,rulebot_evaluation,41553,1616
seed0,0,20000,3200,1810.4143159747437,732.6802234518248,rulebot_evaluation,86031,3216
seed0,0,30000,4800,1810.4143159747437,732.6802234518248,rulebot_evaluation,133081,4816
seed0,0,40000,6400,1810.4143159747437,732.6802234518248,rulebot_evaluation,180027,6416
seed0,0,50000,8000,1810.4143159747437,732.6802234518248,rulebot_evaluation,231457,8016
seed0,0,60000,9600,1237.86579191131,192.05268289848954,rulebot_evaluation,286940,9616
seed0,0,70000,11200,1810.4143159747437,732.6802234518248,rulebot_evaluation,344341,11216
seed0,0,80000,12800,1810.4143159747437,732.6802234518248,rulebot_evaluation,396930,12816
seed1,1,0,0,1000.0,,initialized_by_sop,372,16
seed1,1,10000,1600,1145.8043107065628,168.46418210237783,rulebot_evaluation,38739,1616
seed1,1,20000,3200,1145.8043107065628,168.46418210237783,rulebot_evaluation,83307,3216
seed1,1,30000,4800,1237.86579191131,192.05268289848954,rulebot_evaluation,132910,4816
seed1,1,40000,6400,1810.414343121488,732.6802696377457,rulebot_evaluation,181016,6416
seed1,1,50000,8000,762.13420808869,192.05268289848954,rulebot_evaluation,231866,8016
seed1,1,60000,9600,1810.414343121488,732.6802696377457,rulebot_evaluation,286801,9616
seed1,1,70000,11200,1000.0,154.76011011890134,rulebot_evaluation,337838,11216
seed1,1,80000,12800,1810.414343121488,732.6802696377457,rulebot_evaluation,388141,12816
seed2,2,0,0,1000.0,,initialized_by_sop,315,16
seed2,2,10000,1600,930.1454233923636,157.87302034843165,rulebot_evaluation,39272,1616
seed2,2,20000,3200,1810.4143868313633,732.680344003227,rulebot_evaluation,95842,3216
seed2,2,30000,4800,1069.8545766076363,157.87302034843165,rulebot_evaluation,152014,4816
seed2,2,40000,6400,626.449910427695,251.49825705616192,rulebot_evaluation,206839,6416
seed2,2,50000,8000,1145.804310706563,168.46418210237786,rulebot_evaluation,260054,8016
seed2,2,60000,9600,1069.8545766076363,157.87302034843165,rulebot_evaluation,312457,9616
seed2,2,70000,11200,1810.4143868313633,732.680344003227,rulebot_evaluation,371773,11216
seed2,2,80000,12800,1373.5500895723048,251.498257056162,rulebot_evaluation,432754,12816
seed3,3,0,0,1000.0,,initialized_by_sop,308,16
seed3,3,10000,1600,854.1956892934371,168.46418210237783,rulebot_evaluation,50204,1616
seed3,3,20000,3200,1237.86579191131,192.05268289848954,rulebot_evaluation,107459,3216
seed3,3,30000,4800,1373.5500895723048,251.498257056162,rulebot_evaluation,162272,4816
seed3,3,40000,6400,930.1454233923636,157.87302034843165,rulebot_evaluation,215609,6416
seed3,3,50000,8000,1810.414322053478,732.6802337938375,rulebot_evaluation,268602,8016
seed3,3,60000,9600,1810.414322053478,732.6802337938375,rulebot_evaluation,324419,9616
seed3,3,70000,11200,1237.86579191131,192.05268289848954,rulebot_evaluation,377913,11216
seed3,3,80000,12800,1810.414322053478,732.6802337938375,rulebot_evaluation,429416,12816
pooled,all,0,0,1000.0,,initialized_by_sop,1356,64
pooled,all,10000,6400,892.6976564331328,81.33430274974577,rulebot_evaluation,169768,6464
pooled,all,20000,12800,1336.505984374664,116.80214583574762,rulebot_evaluation,372639,12864
pooled,all,30000,19200,1268.4383153310866,101.8783809689379,rulebot_evaluation,580277,19264
pooled,all,40000,25600,1088.550617675086,80.1405037934841,rulebot_evaluation,783491,25664
pooled,all,50000,32000,1167.9810854419661,86.83885280608176,rulebot_evaluation,991979,32064
pooled,all,60000,38400,1300.1567617599167,108.31835844135863,rulebot_evaluation,1210617,38464
pooled,all,70000,44800,1268.4383153310866,101.8783809689379,rulebot_evaluation,1431865,44864
pooled,all,80000,51200,1624.0524517282888,238.2687418637443,rulebot_evaluation,1647241,51264
