variant,dimension,value,completed_simulations,search_seconds,simulations_per_second,neural_batches,neural_positions,neural_positions_per_second,maximum_neural_batch,optimizer_seconds,optimizer_steps,sampled_weight_mass,device,seed,split,heldout_used
0,simulations,8,8,0.02064604195766151,387.4834709919444,3,8,387.4834709919444,4,0.034194375039078295,1,2.0,cpu,260806,training_microbenchmark,False
1,simulations,16,16,0.009292250033468008,1721.8649888210723,5,14,1506.6318652184382,4,0.0019185839919373393,1,2.0,cpu,260807,training_microbenchmark,False
2,c_puct,1.25,8,0.005402624956332147,1480.761678750919,3,8,1480.761678750919,4,0.001930791069753468,1,2.0,cpu,260808,training_microbenchmark,False
3,c_puct,1.75,8,0.004552749916911125,1757.179758607894,3,7,1537.5322887819073,4,0.0017619590507820249,1,2.0,cpu,260809,training_microbenchmark,False
4,root_dirichlet_fraction,0.0,8,0.004496374982409179,1779.2110380690629,3,6,1334.4082785517971,4,0.001735959085635841,1,2.0,cpu,260810,training_microbenchmark,False
5,root_dirichlet_fraction,0.25,8,0.003923707990907133,2038.8877099262575,3,6,1529.1657824446931,4,0.0016817499417811632,1,2.0,cpu,260811,training_microbenchmark,False
6,temperature_moves,0,8,0.005690416903235018,1405.872387918006,3,8,1405.872387918006,4,0.001878167036920786,1,2.0,cpu,260812,training_microbenchmark,False
7,temperature_moves,16,8,0.005153791978955269,1552.2551225712625,3,8,1552.2551225712625,4,0.0017095000948756933,1,2.0,cpu,260813,training_microbenchmark,False
8,replay_capacity,64,8,0.004619874991476536,1731.6485867603874,3,6,1298.7364400702907,4,0.0017775000305846334,1,2.0,cpu,260814,training_microbenchmark,False
9,replay_capacity,256,8,0.0038527080323547125,2076.461525975154,3,6,1557.3461444813656,4,0.0016838329611346126,1,2.0,cpu,260815,training_microbenchmark,False
10,learning_rate,0.0003,8,0.003976540989242494,2011.7987018471422,3,6,1508.8490263853566,4,0.0019287499599158764,1,2.0,cpu,260816,training_microbenchmark,False
11,learning_rate,0.0005,8,0.004585332935675979,1744.6933760810161,3,7,1526.606704070889,4,0.0016241669654846191,1,2.0,cpu,260817,training_microbenchmark,False
12,network_width_depth,"[8,1]",8,0.004647499998100102,1721.3555682131039,3,8,1721.3555682131039,4,0.0019189589656889439,1,2.0,cpu,260818,training_microbenchmark,False
13,network_width_depth,"[16,2]",8,0.005728292046114802,1396.5768392388404,3,6,1047.4326294291302,4,0.002300709020346403,1,2.0,cpu,260819,training_microbenchmark,False
14,inference_batch_size,4,8,0.004806915996596217,1664.2687339792935,3,8,1664.2687339792935,4,0.0018337080255150795,1,2.0,cpu,260820,training_microbenchmark,False
15,inference_batch_size,8,8,0.00498462503310293,1604.9351650067847,2,8,1604.9351650067847,7,0.0016605830751359463,1,2.0,cpu,260821,training_microbenchmark,False
16,human_mixture_fraction,0.0,8,0.005542458035051823,1443.4028998336294,3,8,1443.4028998336294,4,0.0017966669984161854,1,2.0,cpu,260822,training_microbenchmark,False
17,human_mixture_fraction,0.5,8,0.004927625064738095,1623.500143557534,3,8,1623.500143557534,4,0.001689624972641468,1,33.0,cpu,260823,training_microbenchmark,False
